"","Country,Other","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","ActiveCases","Serious,Critical","Tot Cases/1M pop","Deaths/1M pop","TotalTests","Tests/1M pop","Continent"
"9","USA",1154931,23901,67099,1346,170181,917651,16455,3489,203,6902137,20852,"North America"
"10","Spain",245567,2588,25100,276,146233,74234,2386,5252,537,1528833,32699,"Europe"
"11","Italy",209328,1900,28710,474,79914,100704,1539,3462,475,2108837,34879,"Europe"
"12","UK",182260,4806,28131,621,NA,153785,1559,2685,414,1129907,16644,"Europe"
"13","France",168396,1050,24760,166,50562,93074,3827,2580,379,1100228,16856,"Europe"
"14","Germany",164764,687,6794,58,129000,28970,2105,1967,81,2547052,30400,"Europe"
"15","Turkey",124375,1983,3336,78,58259,62780,1445,1475,40,1111366,13177,"Asia"
"16","Russia",124054,9623,1222,53,15013,107819,2300,850,8,3945518,27036,"Europe"
"17","Iran",96448,802,6156,65,77350,12942,2787,1148,73,484541,5769,"Asia"
"18","Brazil",92865,756,6491,81,38039,48335,8318,437,31,339552,1597,"South America"
"19","Canada",56611,1550,3564,173,23621,29426,557,1500,94,832222,22050,"North America"
"20","Belgium",49517,485,7765,62,12211,29541,689,4273,670,260996,22520,"Europe"
"21","Peru",42534,2075,1200,76,12434,28900,671,1290,36,355604,10785,"South America"
"22","Netherlands",40236,445,4987,94,NA,34999,708,2348,291,225899,13184,"Europe"
"23","India",39699,2442,1323,100,10819,27557,NA,29,1,976363,708,"Asia"
"24","Switzerland",29817,112,1762,8,24200,3855,141,3445,204,276000,31890,"Europe"
"25","Ecuador",27464,1128,1371,308,2132,23961,149,1557,78,73929,4190,"South America"
"26","Saudi Arabia",25459,1362,176,7,3765,21518,139,731,5,339775,9760,"Asia"
"27","Portugal",25190,203,1023,16,1671,22496,150,2470,100,426836,41860,"Europe"
"28","Sweden",22082,562,2669,16,1005,18408,531,2186,264,119500,11833,"Europe"
"29","Ireland",21176,343,1286,21,13386,6504,99,4289,260,169377,34302,"Europe"
"30","Mexico",20739,1515,1972,113,12377,6390,378,161,15,91188,707,"North America"
"31","Pakistan",19022,930,437,20,4753,13832,111,86,2,193859,878,"Asia"
"32","Chile",18435,1427,247,13,9572,8616,425,964,13,199400,10431,"South America"
"33","Singapore",17548,447,17,1,1347,16184,24,2999,3,143919,24600,"Asia"
"34","Israel",16185,84,229,4,9593,6363,105,1870,26,390022,45060,"Asia"
"35","Belarus",15828,911,97,4,3117,12614,92,1675,10,195430,20682,"Europe"
"36","Austria",15558,27,596,7,13180,1782,114,1727,66,269619,29936,"Europe"
"37","Qatar",14872,776,12,NA,1534,13326,72,5162,4,101728,35309,"Asia"
"38","Japan",14305,NA,455,NA,2975,10875,328,113,4,174150,1377,"Asia"
"39","UAE",13599,561,119,8,2664,10816,1,1375,12,1200000,121330,"Asia"
"40","Poland",13375,270,664,13,3762,8949,160,353,18,366013,9671,"Europe"
"41","Romania",12732,165,771,27,4547,7414,265,662,40,190540,9905,"Europe"
"42","Ukraine",11411,550,279,7,1498,9634,151,261,6,122752,2807,"Europe"
"43","Indonesia",10843,292,831,31,1665,8347,NA,40,3,107943,395,"Asia"
"44","S. Korea",10780,6,250,2,9123,1407,55,210,5,623069,12153,"Asia"
"45","Denmark",9407,96,475,15,6889,2043,60,1624,82,221912,38312,"Europe"
"46","Serbia",9362,157,189,4,1426,7747,57,1071,22,96637,11060,"Europe"
"47","Philippines",8928,156,603,24,1124,7201,31,81,6,115012,1050,"Asia"
"48","Bangladesh",8790,552,175,5,177,8438,1,53,1,76066,462,"Asia"
"49","Norway",7801,18,211,1,32,7558,37,1439,39,172586,31835,"Europe"
"50","Czechia",7750,13,245,5,3446,4059,67,724,23,253826,23702,"Europe"
"51","Dominican Republic",7578,290,326,13,1481,5771,144,699,30,30102,2775,"North America"
"52","Colombia",7006,NA,314,NA,1551,5141,118,138,6,108950,2141,"South America"
"53","Australia",6783,16,93,NA,5789,901,28,266,4,611583,23984,"Australia/Oceania"
"54","Panama",6720,188,192,4,622,5906,85,1557,44,31895,7392,"North America"
"55","South Africa",6336,385,123,7,2549,3664,36,107,2,230686,3890,"Africa"
"56","Egypt",6193,298,415,9,1522,4256,NA,61,4,90000,879,"Africa"
"57","Malaysia",6176,105,103,NA,4326,1747,31,191,3,184213,5692,"Asia"
"58","Finland",5176,125,220,2,3000,1956,52,934,40,101800,18373,"Europe"
"59","Morocco",4729,160,173,2,1256,3300,1,128,5,39367,1067,"Africa"
"60","Kuwait",4619,242,33,3,1703,2883,69,1082,8,179000,41915,"Asia"
"61","Argentina",4532,NA,229,4,1320,2983,157,100,5,63866,1413,"South America"
"62","Algeria",4295,141,459,6,1872,1964,22,98,10,6500,148,"Africa"
"63","Moldova",4052,72,124,2,1334,2594,237,1004,31,11763,2916,"Europe"
"64","Kazakhstan",3857,260,25,NA,985,2847,41,205,1,282862,15065,"Asia"
"65","Luxembourg",3812,10,92,NA,3318,402,23,6090,147,47460,75817,"Europe"
"66","Bahrain",3284,114,8,NA,1568,1708,1,1930,5,139354,81897,"Asia"
"67","Thailand",2966,6,54,NA,2732,180,61,42,0.8,178083,2551,"Asia"
"68","Hungary",2942,79,335,12,625,1982,52,305,35,79551,8235,"Europe"
"69","Greece",2620,8,143,3,1374,1103,37,251,14,78207,7503,"Europe"
"70","Oman",2483,36,12,1,750,1721,17,486,2,40459,7923,"Asia"
"71","Afghanistan",2469,134,72,4,331,2066,7,63,2,11068,284,"Asia"
"72","Armenia",2273,125,33,NA,1010,1230,10,767,11,23142,7810,"Asia"
"73","Iraq",2219,66,95,1,1473,651,NA,55,2,98253,2443,"Asia"
"74","Nigeria",2170,NA,68,NA,351,1751,2,11,0.3,16588,80,"Africa"
"75","Ghana",2169,95,18,1,229,1922,4,70,0.6,113497,3653,"Africa"
"76","Uzbekistan",2118,32,9,NA,1271,838,8,63,0.3,242536,7247,"Asia"
"77","Croatia",2088,3,77,2,1463,548,17,509,19,37557,9148,"Europe"
"78","Cameroon",2077,245,64,3,953,1060,12,78,2,NA,NA,"Africa"
"79","Azerbaijan",1894,40,25,NA,1411,458,17,187,2,152597,15050,"Asia"
"80","Bosnia and Herzegovina",1839,58,72,2,779,988,4,561,22,32783,9992,"Europe"
"81","Iceland",1798,NA,10,NA,1706,82,NA,5269,29,50002,146529,"Europe"
"82","Estonia",1699,5,53,1,256,1390,7,1281,40,54464,41057,"Europe"
"83","Cuba",1611,74,66,2,765,780,10,142,6,51506,4547,"North America"
"84","Bulgaria",1594,39,72,4,287,1235,43,229,10,47636,6856,"Europe"
"85","Guinea",1537,NA,7,NA,342,1188,NA,117,0.5,NA,NA,"Africa"
"86","North Macedonia",1506,12,82,1,852,572,21,723,39,16997,8158,"Europe"
"87","New Zealand",1485,6,20,1,1263,202,NA,308,4,145589,30191,"Australia/Oceania"
"88","Slovenia",1439,5,94,2,239,1106,21,692,45,55020,26465,"Europe"
"89","Slovakia",1407,4,24,1,608,775,5,258,4,94770,17358,"Europe"
"90","Lithuania",1406,7,46,1,632,728,17,516,17,138270,50792,"Europe"
"91","Ivory Coast",1333,NA,15,NA,597,721,NA,51,0.6,10073,382,"Africa"
"92","Bolivia",1229,62,66,4,134,1029,3,105,6,5791,496,"South America"
"93","Senegal",1115,91,9,NA,368,738,1,67,0.5,466,28,"Africa"
"94","Djibouti",1112,15,2,NA,686,424,NA,1126,2,13856,14024,"Africa"
"95","Hong Kong",1040,NA,4,NA,864,172,4,139,0.5,154989,20674,"Asia"
"96","Tunisia",998,NA,41,NA,316,641,24,84,3,23526,1991,"Africa"
"97","Honduras",899,95,75,NA,112,712,10,91,8,3643,368,"North America"
"98","Latvia",871,1,16,NA,348,507,2,462,8,63102,33455,"Europe"
"99","Cyprus",864,7,15,NA,296,553,15,716,12,62267,51573,"Asia"
"100","Albania",789,7,31,NA,519,239,4,274,11,8669,3012,"Europe"
"101","Kyrgyzstan",769,13,8,NA,527,234,12,118,1,51472,7889,"Asia"
"102","Andorra",747,2,44,1,472,231,17,9668,569,1673,21653,"Europe"
"103","Lebanon",733,4,25,1,197,511,43,107,4,37880,5550,"Asia"
"104","Costa Rica",733,8,6,NA,372,355,6,144,1,13632,2676,"North America"
"105","Niger",728,NA,33,NA,478,217,NA,30,1,5230,216,"Africa"
"107","Sri Lanka",702,12,7,NA,172,523,1,33,0.3,23525,1099,"Asia"
"108","Somalia",671,70,31,3,34,606,2,42,2,NA,NA,"Africa"
"109","Burkina Faso",649,NA,44,NA,517,88,NA,31,2,NA,NA,"Africa"
"110","Uruguay",648,NA,17,NA,435,196,10,187,5,20554,5917,"South America"
"111","Guatemala",644,45,16,NA,72,556,5,36,0.9,7200,402,"North America"
"112","DRC",604,NA,32,NA,75,497,NA,7,0.4,NA,NA,"Africa"
"113","Sudan",592,150,41,10,52,499,NA,14,0.9,NA,NA,"Africa"
"114","Georgia",582,16,8,1,207,367,6,146,2,15904,3987,"Asia"
"115","San Marino",580,NA,41,NA,83,456,5,17094,1208,2397,70643,"Europe"
"116","Mali",544,36,26,NA,206,312,NA,27,1,2172,107,"Africa"
"117","Channel Islands",543,5,41,NA,406,96,NA,3123,236,5342,30725,"Europe"
"118","Mayotte",539,NA,4,NA,235,300,4,1976,15,3000,10996,"Africa"
"119","Maldives",519,28,1,NA,18,500,2,960,2,8008,14815,"Asia"
"120","Tanzania",480,NA,16,NA,167,297,7,8,0.3,NA,NA,"Africa"
"121","Malta",468,1,4,NA,379,85,1,1060,9,35117,79532,"Europe"
"122","Jordan",460,1,9,1,367,84,5,45,0.9,82092,8046,"Asia"
"123","El Salvador",446,22,10,NA,141,295,2,69,2,26961,4157,"North America"
"124","Kenya",435,24,22,1,152,261,2,8,0.4,21702,404,"Africa"
"125","Jamaica",432,10,8,NA,31,393,1,146,3,4779,1614,"North America"
"126","Taiwan",432,3,6,NA,324,102,NA,18,0.3,63713,2675,"Asia"
"127","Réunion",422,NA,NA,NA,300,122,2,471,NA,NA,NA,"Africa"
"128","Palestine",353,NA,2,NA,76,275,NA,69,0.4,32200,6312,"Asia"
"129","Venezuela",345,10,10,NA,148,187,2,12,0.4,477790,16802,"South America"
"130","Paraguay",333,67,10,NA,115,208,5,47,1,10342,1450,"South America"
"131","Mauritius",332,NA,10,NA,314,8,3,261,8,16028,12603,"Africa"
"132","Montenegro",322,NA,8,1,245,69,2,513,13,6864,10929,"Europe"
"133","Isle of Man",320,4,22,NA,271,27,21,3763,259,3242,38126,"Europe"
"134","Equatorial Guinea",315,NA,1,NA,9,305,NA,225,0.7,854,609,"Africa"
"135","Gabon",276,NA,3,NA,67,206,1,124,1,724,325,"Africa"
"136","Vietnam",270,NA,NA,NA,219,51,8,3,NA,261004,2681,"Asia"
"137","Guinea-Bissau",257,NA,1,NA,19,237,NA,131,0.5,1500,762,"Africa"
"138","Rwanda",255,6,NA,NA,120,135,NA,20,NA,33303,2571,"Africa"
"139","Congo",229,NA,9,NA,25,195,NA,41,2,NA,NA,"Africa"
"140","Faeroe Islands",187,NA,NA,NA,184,3,NA,3827,NA,8021,164153,"Europe"
"141","Martinique",179,NA,14,NA,83,82,5,477,37,NA,NA,"North America"
"142","Sierra Leone",155,19,8,1,21,126,NA,19,1,NA,NA,"Africa"
"143","Liberia",152,NA,18,NA,45,89,NA,30,4,NA,NA,"Africa"
"144","Guadeloupe",152,NA,12,NA,95,45,6,380,30,NA,NA,"North America"
"145","Cabo Verde",152,30,2,1,18,132,NA,273,4,791,1423,"Africa"
"146","Myanmar",151,NA,6,NA,37,108,NA,3,0.1,8281,152,"Asia"
"147","Gibraltar",144,NA,NA,NA,132,12,NA,4274,NA,2711,80467,"Europe"
"148","Brunei",138,NA,1,NA,126,11,2,315,2,13924,31828,"Asia"
"149","Madagascar",135,3,NA,NA,97,38,1,5,NA,3393,123,"Africa"
"150","Ethiopia",133,NA,3,NA,69,61,NA,1,0.03,20770,181,"Africa"
"151","French Guiana",128,NA,1,NA,98,29,2,429,3,NA,NA,"South America"
"152","Togo",123,NA,9,NA,66,48,NA,15,1,7100,858,"Africa"
"153","Cambodia",122,NA,NA,NA,120,2,1,7,NA,12222,731,"Asia"
"154","Zambia",119,10,3,NA,75,41,1,6,0.2,5284,287,"Africa"
"155","Chad",117,44,10,5,39,68,NA,7,0.6,NA,NA,"Africa"
"156","Trinidad and Tobago",116,NA,8,NA,88,20,NA,83,6,1838,1313,"North America"
"157","Bermuda",114,NA,6,NA,48,60,4,1831,96,2791,44815,"North America"
"158","Eswatini",108,2,1,NA,12,95,NA,93,0.9,714,615,"Africa"
"159","Aruba",100,NA,2,NA,81,17,4,937,19,1731,16213,"North America"
"160","Monaco",95,NA,4,NA,73,18,1,2421,102,NA,NA,"Europe"
"161","Benin",90,NA,2,NA,42,46,NA,7,0.2,NA,NA,"Africa"
"162","Haiti",85,NA,8,NA,10,67,NA,7,0.7,848,74,"North America"
"163","Uganda",85,NA,NA,NA,52,33,NA,2,NA,33818,739,"Africa"
"164","Bahamas",82,1,11,NA,24,47,1,209,28,1313,3339,"North America"
"165","Guyana",82,NA,9,NA,22,51,2,104,11,579,736,"South America"
"166","Liechtenstein",82,NA,1,NA,55,26,NA,2151,26,900,23605,"Europe"
"167","Barbados",81,NA,7,NA,44,30,4,282,24,2369,8244,"North America"
"168","Mozambique",79,NA,NA,NA,18,61,NA,3,NA,2337,75,"Africa"
"169","Sint Maarten",76,NA,13,NA,44,19,7,1773,303,329,7673,"North America"
"170","Tajikistan",76,61,2,2,NA,74,NA,8,0.2,NA,NA,"Asia"
"171","Cayman Islands",74,NA,1,NA,10,63,3,1126,15,1927,29320,"North America"
"172","CAR",72,NA,NA,NA,10,62,NA,15,NA,NA,NA,"Africa"
"173","Libya",63,NA,3,NA,32,28,NA,9,0.4,2155,314,"Africa"
"174","Nepal",59,NA,NA,NA,16,43,NA,2,NA,61627,2115,"Asia"
"175","French Polynesia",58,NA,NA,NA,51,7,1,206,NA,2599,9252,"Australia/Oceania"
"176","Macao",45,NA,NA,NA,37,8,1,69,NA,NA,NA,"Asia"
"177","South Sudan",45,NA,NA,NA,NA,45,NA,4,NA,1247,111,"Africa"
"178","Syria",44,NA,3,NA,27,14,NA,3,0.2,NA,NA,"Asia"
"179","Eritrea",39,NA,NA,NA,26,13,NA,11,NA,NA,NA,"Africa"
"180","Mongolia",39,1,NA,NA,10,29,NA,12,NA,8022,2447,"Asia"
"181","Malawi",38,1,3,NA,9,26,1,2,0.2,831,43,"Africa"
"182","Saint Martin",38,NA,3,NA,27,8,3,983,78,NA,NA,"North America"
"183","Angola",35,5,2,NA,11,22,NA,1,0.06,481,15,"Africa"
"184","Zimbabwe",34,NA,4,NA,5,25,NA,2,0.3,7642,514,"Africa"
"185","Antigua and Barbuda",25,NA,3,NA,15,7,1,255,31,151,1542,"North America"
"186","Timor-Leste",24,NA,NA,NA,16,8,NA,18,NA,322,244,"Asia"
"187","Botswana",23,NA,1,NA,8,14,NA,10,0.4,7675,3264,"Africa"
"188","Grenada",21,1,NA,NA,13,8,4,187,NA,1406,12495,"North America"
"189","Laos",19,NA,NA,NA,9,10,NA,3,NA,2165,298,"Asia"
"190","Belize",18,NA,2,NA,13,3,1,45,5,1043,2623,"North America"
"191","Fiji",18,NA,NA,NA,14,4,NA,20,NA,1007,1123,"Australia/Oceania"
"192","New Caledonia",18,NA,NA,NA,17,1,1,63,NA,4947,17328,"Australia/Oceania"
"193","Gambia",17,5,1,NA,9,7,NA,7,0.4,401,166,"Africa"
"194","Saint Lucia",17,NA,NA,NA,15,2,NA,93,NA,446,2429,"North America"
"195","Curaçao",16,NA,1,NA,13,2,NA,98,6,351,2139,"North America"
"196","Sao Tome and Principe",16,NA,1,NA,4,11,NA,73,5,19,87,"Africa"
"197","Dominica",16,NA,NA,NA,13,3,NA,222,NA,383,5320,"North America"
"198","Namibia",16,NA,NA,NA,8,8,NA,6,NA,704,277,"Africa"
"199","St. Vincent Grenadines",16,NA,NA,NA,8,8,NA,144,NA,108,973,"North America"
"200","Saint Kitts and Nevis",15,NA,NA,NA,8,7,NA,282,NA,294,5526,"North America"
"201","Nicaragua",14,NA,3,NA,7,4,NA,2,0.5,NA,NA,"North America"
"202","Falkland Islands",13,NA,NA,NA,13,0,NA,3736,NA,388,111494,"South America"
"203","Turks and Caicos",12,NA,1,NA,5,6,NA,310,26,83,2144,"North America"
"204","Burundi",11,NA,1,NA,4,6,NA,0.9,0.08,284,24,"Africa"
"205","Montserrat",11,NA,1,NA,2,8,1,2204,200,36,7212,"North America"
"206","Greenland",11,NA,NA,NA,11,0,NA,194,NA,1271,22389,"North America"
"207","Vatican City",11,NA,NA,NA,2,9,NA,13733,NA,NA,NA,"Europe"
"208","Seychelles",11,NA,NA,NA,6,5,NA,112,NA,NA,NA,"Africa"
"209","Yemen",10,3,2,NA,1,7,NA,0.3,0.07,120,4,"Asia"
"210","Suriname",10,NA,1,NA,8,1,NA,17,2,404,689,"South America"
"211","MS Zaandam",9,NA,2,NA,NA,7,NA,NA,NA,NA,NA,""
"212","Mauritania",8,NA,1,NA,6,1,NA,2,0.2,1032,222,"Africa"
"213","Papua New Guinea",8,NA,NA,NA,NA,8,NA,0.9,NA,604,68,"Australia/Oceania"
"214","Bhutan",7,NA,NA,NA,5,2,NA,9,NA,10548,13670,"Asia"
"215","British Virgin Islands",6,NA,1,NA,3,2,NA,198,33,NA,NA,"North America"
"216","Caribbean Netherlands",6,NA,NA,NA,NA,6,NA,229,NA,110,4195,"North America"
"217","St. Barth",6,NA,NA,NA,6,0,NA,607,NA,NA,NA,"North America"
"218","Western Sahara",6,NA,NA,NA,5,1,NA,10,NA,NA,NA,"Africa"
"219","Anguilla",3,NA,NA,NA,3,0,NA,200,NA,NA,NA,"North America"
"220","Comoros",3,2,NA,NA,NA,3,NA,3,NA,NA,NA,"Africa"
"221","Saint Pierre Miquelon",1,NA,NA,NA,NA,1,NA,173,NA,NA,NA,"North America"
"222","China",82875,1,4633,NA,77685,557,37,58,3,NA,NA,"Asia"
